No.,Company,Location HQ,USState,Country,Continent,LaidOff,Date layoffs,Percentage,Company Size  Before Layoff,Company Size  After Layoff,Industry,Stage,Money Raised in millions,Year
425,Curve,London,Unknown,UK,Europe,65,01-06-2022,10,650,585,Finance,Series C,182,2022
426,Cybereason,Boston,Massachusetts,USA,North America,100,01-06-2022,6,1667,1567,Security,Series F,750,2022
427,Impala,London,Unknown,UK,Europe,30,01-06-2022,35,86,56,Travel,Series B,32,2022
428,Loom,San Francisco,California,USA,North America,34,01-06-2022,14,243,209,Product,Series C,203,2022
429,Udayy,Gurugram,Unknown,India,Asia,100,01-06-2022,100,100,0,Education,Seed,2,2022
430,Carbon Health,San Francisco,California,USA,North America,250,02-06-2022,8,3125,2875,Healthcare,Series D,522,2022
431,Gather,Palo Alto,California,USA,North America,30,02-06-2022,33,91,61,Consumer,Series B,76,2022
432,Gemini,New York City,New York,USA,North America,100,02-06-2022,10,1000,900,Crypto,Unknown,423,2022
433,IRL,Berkeley,California,USA,North America,25,02-06-2022,25,100,75,Consumer,Series C,197,2022
434,PolicyGenius,New York City,New York,USA,North America,170,02-06-2022,25,680,510,Finance,Series E,286,2022
435,Stord,Atlanta,Georgia,USA,North America,59,02-06-2022,8,738,679,Logistics,Series D,325,2022
436,Yojak,Gurugram,Unknown,India,Asia,140,02-06-2022,50,280,140,Construction,Seed,3,2022
437,Food52,New York City,New York,USA,North America,21,03-06-2022,15,140,119,Food,Acquired,176,2022
438,Superhuman,San Francisco,California,USA,North America,23,03-06-2022,22,105,82,Consumer,Series C,108,2022
439,Dutchie,Bend,Oregon,USA,North America,50,06-06-2022,7,714,664,Other,Series D,603,2022
440,Bird,Los Angeles,California,USA,North America,138,07-06-2022,23,600,462,Transportation,Post-IPO,783,2022
